status,duration,credit_history,purpose,amount,savings,employment_duration,property,age,other_installment_plans,credit_risk
2,12,2,0,1295,1,2,3,25,3,0
1,48,0,2,7119,1,3,4,53,3,0
1,36,4,2,2348,1,3,2,46,3,1
4,24,2,3,3621,2,5,3,31,3,0
2,24,3,9,6967,2,4,3,36,3,1
4,6,2,3,1595,1,4,2,51,3,1
4,12,4,3,1934,1,5,4,26,3,1
4,24,2,0,1469,2,5,1,41,3,1
1,36,4,1,9629,1,4,3,24,3,0
2,20,3,10,2629,1,3,3,29,1,1
2,9,2,3,2118,1,3,1,37,3,1
2,12,4,3,3573,1,3,1,23,3,1
2,7,2,3,2329,1,2,1,45,3,1
2,12,2,0,1318,4,5,1,54,3,1
4,12,2,1,1413,4,4,2,55,3,1
2,9,4,6,1136,4,5,4,32,3,0
4,12,4,9,1185,1,3,1,27,3,1
1,18,0,2,3114,1,2,2,26,3,0
1,12,3,0,1344,1,3,1,43,3,1
1,18,2,6,750,1,1,1,27,3,0
2,9,2,3,1670,1,2,3,22,3,0
2,10,2,2,1521,1,3,3,31,3,1
4,24,3,9,3863,1,3,4,32,3,1
1,12,2,3,1498,1,3,3,23,1,1
1,36,2,0,9271,1,4,3,24,3,0
2,20,0,1,6148,2,5,3,31,1,1
3,15,2,6,1905,1,5,3,40,3,1
2,12,2,3,766,3,3,1,66,3,0
2,36,4,0,2820,1,2,3,27,3,0
1,8,4,0,713,1,5,1,47,3,1
4,36,2,3,2299,3,5,3,39,3,1
4,27,2,5,5190,5,5,2,48,3,1
1,12,4,0,3499,1,3,1,29,3,0
1,15,2,9,806,1,3,2,22,3,1
4,24,1,9,1559,1,4,3,40,1,1
4,54,0,1,9436,5,3,2,39,3,1
1,30,2,1,3857,1,3,2,40,3,1
4,24,4,9,4526,1,3,1,74,3,1
4,24,4,0,1287,4,5,1,37,3,1
2,18,2,1,12976,1,1,4,38,3,0
2,24,2,0,2718,1,3,2,20,3,0
4,10,4,2,2146,1,2,1,23,3,1
4,18,4,3,1098,1,1,3,65,3,1
4,24,4,3,2578,4,5,3,34,3,1
4,9,2,4,1236,1,2,1,23,3,1
1,12,2,0,900,5,3,3,23,3,0
1,12,2,3,674,2,4,2,20,3,0
3,15,2,3,2327,1,2,1,25,3,0
4,33,3,9,2764,1,3,3,26,3,1
3,10,4,0,781,1,5,4,63,3,1
2,6,2,0,14555,5,1,2,23,3,0
4,12,4,3,1240,5,5,1,38,3,1
4,6,4,3,1740,1,5,1,30,3,1
1,12,1,8,339,1,5,3,45,1,1
1,24,2,10,1755,1,5,1,58,3,1
4,12,4,0,1255,1,5,1,61,3,1
4,21,2,0,2782,3,4,3,31,1,1
2,45,2,3,3031,2,3,2,21,3,0
2,12,2,2,951,2,2,3,27,1,0
2,48,1,9,3566,2,4,3,30,3,1
1,24,2,2,1747,1,2,2,24,3,1
1,12,2,2,7865,1,5,4,53,3,0
4,6,4,0,362,2,3,3,52,3,1
2,12,2,3,1484,5,3,1,25,3,0
4,9,2,3,2697,1,3,1,32,3,1
4,15,4,3,1471,1,3,4,35,3,1
1,39,4,2,14179,5,4,2,30,3,1
4,24,4,0,2463,2,4,2,27,3,1
4,24,4,3,5103,1,2,4,47,3,1
4,6,0,0,1204,2,3,4,35,1,1
4,36,2,6,9055,5,3,4,35,3,1
4,12,2,3,1963,1,4,3,31,3,1
1,21,1,0,1647,5,3,2,40,1,0
4,24,3,0,2032,1,5,4,60,3,1
4,24,2,2,2835,3,5,2,53,3,1
2,24,3,2,2064,1,1,2,34,3,0
2,11,2,2,1577,4,2,1,20,3,1
2,12,2,2,1922,1,3,2,37,3,0
1,12,4,1,1526,1,5,4,66,3,1
4,24,2,2,3972,1,4,2,25,3,1
4,24,2,1,2670,1,5,3,35,3,1
2,9,4,3,1154,1,5,1,37,3,1
1,10,4,0,2241,1,2,1,48,3,1
4,12,2,3,2073,2,3,1,28,3,1
1,30,2,2,3108,1,2,2,31,3,0
2,36,2,0,14318,1,5,4,57,3,0
2,6,2,3,590,1,2,1,26,3,1
2,30,2,0,2150,1,3,4,24,1,0
4,22,2,0,1283,5,4,2,25,3,1
4,12,2,3,804,1,5,3,38,3,1
2,30,2,2,3832,1,2,2,22,3,1
3,6,4,0,1343,1,5,1,46,3,1
4,18,4,3,2238,1,3,3,25,3,1
1,18,4,0,5302,1,5,4,36,3,1
4,18,2,9,1950,1,4,3,34,2,1
1,9,2,2,2136,1,3,1,25,3,1
4,9,2,2,2301,2,2,2,22,3,1
1,36,1,2,2746,1,5,3,31,1,0
1,30,2,2,6350,5,5,2,31,3,0
2,48,2,3,5951,1,3,1,22,3,0
2,30,4,0,4249,1,1,3,28,3,0
2,9,4,6,1501,1,5,3,34,3,0
1,6,4,0,860,1,5,4,39,3,1
1,12,2,0,759,1,4,1,26,3,0
4,36,0,5,2613,1,3,3,27,3,1
4,18,2,9,1568,2,3,2,24,3,1
4,18,2,3,2051,1,2,1,33,3,1
4,21,4,2,2288,1,2,2,23,3,1
2,9,2,2,959,1,3,3,29,1,0
1,18,2,3,3509,1,4,1,25,3,1
1,12,2,3,1680,3,5,1,35,3,1
1,18,2,2,2473,1,1,3,25,3,0
1,24,1,2,2828,3,3,1,22,2,1
4,10,2,3,1924,1,3,2,38,3,1
4,24,4,3,1516,4,3,1,43,3,1
4,24,4,6,1927,5,3,3,33,3,1
4,24,2,1,6313,5,5,3,41,3,1
4,21,4,1,3275,1,5,3,36,3,1
1,24,1,0,1193,1,1,4,29,3,0
1,15,4,2,1478,1,5,3,44,3,1
4,48,4,1,2751,5,5,3,38,3,1
1,12,2,2,2577,1,3,3,42,3,1
4,18,3,2,1808,1,4,1,22,3,0
4,18,2,3,1473,1,2,1,39,3,1
2,24,3,3,6403,1,2,3,33,3,1
4,15,2,3,1386,5,3,1,40,3,1
4,15,3,2,960,4,4,2,30,3,1
1,12,2,0,3651,4,3,2,31,3,1
1,18,2,2,1131,1,1,3,33,3,0
1,24,2,0,3123,1,2,2,27,3,0
1,45,0,9,11816,1,5,3,29,3,0
1,20,4,0,2235,1,3,2,33,1,0
2,9,2,3,790,3,3,1,66,3,1
4,24,2,3,1311,2,4,2,26,3,1
2,12,4,1,1804,2,2,2,44,3,1
3,6,4,0,1323,2,5,3,28,3,1
4,24,2,3,2284,1,4,3,28,3,1
2,15,2,5,1308,1,5,3,38,3,1
4,36,2,2,10974,1,1,3,26,3,0
4,4,4,0,3380,1,4,1,37,3,1
1,18,4,5,1190,1,1,4,55,3,0
4,12,2,0,1884,1,5,3,39,3,1
1,48,1,9,7685,1,4,3,37,3,0
1,24,2,0,1207,1,2,2,24,3,0
1,24,2,2,4169,1,3,2,28,3,1
1,30,0,2,4583,1,3,1,32,3,1
4,6,4,0,2080,3,3,3,24,3,1
4,20,4,0,3485,5,2,1,44,3,1
2,15,2,5,1514,2,3,1,22,3,1
4,36,4,0,7855,1,3,1,25,2,0
4,18,4,0,1055,1,2,2,30,3,1
1,36,3,6,6887,1,3,2,29,2,0
2,24,0,9,4241,1,3,1,36,3,0
2,24,2,1,2760,5,5,4,36,1,1
